Date,Shanghai Composite,ASX 200,BSE Sensex,Dow Jones,CAC 40,FTSE 100,DAX,S&P 500,Hang Seng,NASDAQ,Nikkei 225
2010-04-28,2900.3310546875,4822.7998046875,17380.080078125,11045.26953125,3787.0,5586.60009765625,6084.33984375,1191.3599853515625,20949.400390625,2471.72998046875,10924.7900390625
2010-04-29,2868.431884765625,4785.60009765625,17503.470703125,11167.3203125,3840.6201171875,5617.7998046875,6144.91015625,1206.780029296875,20778.919921875,2511.919921875,
2010-04-30,2870.611083984375,4807.39990234375,17558.7109375,11008.6103515625,3816.989990234375,5553.2998046875,6135.7001953125,1186.68994140625,21108.58984375,2461.18994140625,11057.400390625
2010-05-03,,4785.5,17386.080078125,11151.830078125,3828.4599609375,,6166.919921875,1202.260009765625,20811.359375,2498.739990234375,
2010-05-04,2835.277099609375,4737.10009765625,17137.140625,10926.76953125,3689.2900390625,5411.10009765625,6006.85986328125,1173.5999755859375,20763.05078125,2424.25,
2010-05-05,2857.15087890625,4674.0,17087.9609375,10866.830078125,3636.030029296875,5341.89990234375,5958.4501953125,1165.8699951171875,20327.5390625,2402.2900390625,
2010-05-06,2739.701904296875,4573.2001953125,16987.529296875,10520.3203125,3556.110107421875,5261.0,5908.259765625,1128.1500244140625,20133.41015625,2319.639892578125,10695.6904296875
2010-05-07,2688.383056640625,4480.7001953125,16769.109375,10380.4296875,3392.590087890625,5123.0,5715.08984375,1110.8800048828125,19920.2890625,2265.639892578125,10364.58984375
2010-05-10,2698.757080078125,4599.7998046875,17330.55078125,10785.1396484375,3720.2900390625,5387.39990234375,6017.91015625,1159.72998046875,20426.640625,2374.669921875,10530.7001953125
2010-05-11,2647.572998046875,4548.0,17141.529296875,10748.259765625,3693.199951171875,5334.2001953125,6037.7099609375,1155.7900390625,20146.509765625,2375.31005859375,10411.099609375
2010-05-12,2655.714111328125,4573.0,17195.810546875,10896.91015625,3733.8701171875,5383.5,6183.490234375,1171.6700439453125,20212.490234375,2425.02001953125,10394.0302734375
2010-05-13,2710.507080078125,4652.7998046875,17265.869140625,10782.9501953125,3731.5400390625,5433.7001953125,6251.97021484375,1157.43994140625,20422.4609375,2394.360107421875,10620.5498046875
2010-05-14,2696.62890625,4611.10009765625,16994.599609375,10620.16015625,3560.360107421875,5262.89990234375,6056.7099609375,1135.6800537109375,20145.4296875,2346.85009765625,10462.509765625
2010-05-17,2559.930908203125,4467.2001953125,16835.560546875,10625.830078125,3543.550048828125,5262.5,6066.919921875,1136.93994140625,19715.19921875,2354.22998046875,10235.759765625
2010-05-18,2594.782958984375,4470.7001953125,16875.759765625,10510.9501953125,3617.320068359375,5307.2998046875,6155.93017578125,1120.800048828125,19944.939453125,2317.260009765625,10242.6396484375
2010-05-19,2587.806884765625,4387.10009765625,16408.490234375,10444.3701171875,3511.669921875,5158.10009765625,5988.669921875,1115.050048828125,19578.98046875,2298.3701171875,10186.83984375
2010-05-20,2555.93994140625,4316.5,16519.6796875,10068.009765625,3432.52001953125,5073.10009765625,5867.8798828125,1071.5899658203125,19545.830078125,2204.010009765625,10030.3095703125
2010-05-21,2583.52197265625,4305.39990234375,16445.609375,10193.3896484375,3430.739990234375,5062.89990234375,5829.25,1087.68994140625,,2229.0400390625,9784.5400390625
