time,open,high,low,close
1275357600,505.17999268,509.13000488,503.6499939,508.67999268
1275444000,505.17999268,511.1000061,504.79000854,510.73999023
1275530400,516.15002441,516.2199707,511.16000366,511.16000366
1275616800,511.8500061,513,508.75,510.36999512
1275876000,498.94000244,502.17999268,494.98001099,496.89001465
1275962400,494.07998657,497.95001221,493.20001221,497.19000244
1276048800,500.11999512,502.52999878,497.23999023,497.55999756
1276135200,497,500.60998535,495.3999939,500.51000977
1276221600,505.07000732,506.75,504.29000854,504.29000854
1276480800,506.54998779,509.3500061,506.30999756,508.32000732
1276567200,509.29998779,510.17999268,506.5,508.01000977
1276653600,510.3500061,513.07000732,510.3500061,510.72000122
1276740000,510.29998779,511.16000366,508.35998535,510.76000977
1276826400,511.92999268,514.03997803,509.3500061,511.17999268
1277085600,515.08001709,515.76000977,513.95001221,514.75
1277172000,513.22998047,515.39001465,511.30999756,512.63000488
1277258400,510.26998901,514.40002441,508.83999634,512.82000732
1277344800,513.57000732,514.95001221,511.67001343,511.67001343
1277431200,506.05999756,509.57000732,505.11999512,505.11999512
1277690400,505.36999512,507.70999146,505.26000977,507.27999878
1277776800,509.83999634,511.36999512,509.45999146,510.70999146
1277863200,501.19000244,507.14001465,501.05999756,507.14001465
1277949600,504.10998535,506.60998535,503.6499939,504.01998901
1278036000,505.1499939,505.54998779,502.5,503.6499939
1278295200,505.67001343,507.07998657,504.54000854,506.54000854
1278381600,505.75,505.75,500.70001221,500.82000732
1278468000,502.5,503.83999634,496.91000366,496.91000366
1278554400,502.05999756,502.20001221,498.54998779,498.54998779
1278640800,499.04998779,501.10998535,498.95999146,499.45999146
1278900000,499.82998657,500.39001465,497.16000366,499.92999268
1278986400,505.42001343,509.85998535,502.57998657,509.07998657
1279072800,512.2199707,512.80999756,507.33999634,507.33999634
1279159200,505.83999634,507.63000488,505.01000977,505.19000244
1279245600,505.47000122,507.11999512,504.17001343,506.20999146
1279504800,504.25,506.83999634,503.22000122,506.83999634
1279591200,507.04000854,507.25,505.23001099,506.55999756
1279677600,507.16000366,507.26998901,505.3500061,505.3999939
1279764000,503.13000488,503.61999512,500.04000854,500.27999878
1279850400,502.79000854,502.86999512,499.73001099,500.30999756
1280109600,501.20001221,501.92001343,498.1000061,498.1000061
1280196000,499.02999878,501.85998535,497.67001343,497.67001343
1280282400,497.3999939,497.85998535,491,491
1280368800,488.92001343,492.92001343,488.92001343,491.10998535
1280455200,491.29998779,495.1000061,491.29998779,493.91000366
1280714400,494.77999878,495.26000977,491.26998901,491.60998535
1280800800,493.3999939,496.52999878,491.8999939,491.8999939
1280887200,490.29000854,490.30999756,484.66000366,486.70999146
